"","scale","total","turnover","nestedness"
"86","inter-station",0.568807339449541,0.447058823529412,0.12174851592013
"87","inter-station",NA,NA,NA
"88","inter-station",0.571428571428571,0.503597122302158,0.0678314491264132
"89","inter-station",0.632258064516129,0.446601941747573,0.185656122768556
"90","inter-station",0.674418604651163,0.654320987654321,0.0200976169968418
"91","inter-station",0.458333333333333,0.434782608695652,0.0235507246376812
"92","inter-station",0.720848056537102,0.660944206008584,0.0599038505285188
"93","inter-station",0.12,0,0.12
"94","inter-station",0.369230769230769,0.327868852459016,0.0413619167717528
"95","inter-station",0.428571428571429,0.2,0.228571428571429
"96","inter-station",0.763243243243243,0.625641025641026,0.137602217602218
"97","inter-station",NA,NA,NA
"98","inter-station",0.423076923076923,0.4,0.0230769230769231
"99","inter-station",NA,NA,NA
"100","inter-station",0.458333333333333,0.315789473684211,0.142543859649123
"101","inter-station",0.423076923076923,0.318181818181818,0.104895104895105
"102","inter-station",NA,NA,NA
"103","inter-station",0.584269662921348,0.519480519480519,0.0647891434408288
"104","inter-station",NA,NA,NA
"105","inter-station",0.65702479338843,0.546448087431694,0.110576705956736
"106","inter-station",0.6,0.5,0.1
"107","inter-station",0.453333333333333,0.305084745762712,0.148248587570621
"108","inter-station",0.459016393442623,0.326530612244898,0.132485781197725
"109","inter-station",0.407407407407407,0.384615384615385,0.0227920227920228
"110","inter-station",NA,NA,NA
"111","inter-station",NA,NA,NA
"112","inter-station",NA,NA,NA
"113","inter-station",0.481481481481481,0.461538461538462,0.0199430199430199
"114","inter-station",0.786437246963563,0.728442728442728,0.0579945185208343
"115","inter-station",0.71875,0.590909090909091,0.127840909090909
"116","inter-station",0.7857847976308,0.714097496706192,0.0716873009246072
"117","inter-station",0.360655737704918,0.264150943396226,0.0965047943086916
"118","inter-station",0.569343065693431,0.378947368421053,0.190395697272378
"119","inter-station",0.444444444444444,0.375,0.0694444444444444
"120","inter-station",0.4,0.368421052631579,0.0315789473684211
"121","inter-station",0.725868725868726,0.535947712418301,0.189921013450425
"122","inter-station",0.735135135135135,0.642335766423358,0.0927993687117775
"123","inter-station",0.631147540983607,0.545454545454545,0.0856929955290611
"124","inter-station",0.3,0.3,0
"125","inter-station",0.478260869565217,0.4,0.0782608695652174
"126","inter-station",0.656,0.626086956521739,0.0299130434782609
"127","inter-station",0.56,0.352941176470588,0.207058823529412
"128","inter-station",0.545454545454545,0.468085106382979,0.0773694390715667
"129","inter-station",0.686746987951807,0.59375,0.0929969879518072
"130","inter-station",0.461538461538462,0.222222222222222,0.239316239316239
"131","inter-station",0.56875,0.316831683168317,0.251918316831683
"132","inter-station",0.480519480519481,0.375,0.105519480519481
"133","inter-station",0.693140794223827,0.508670520231214,0.184470273992613
"134","inter-station",0.7125,0.51063829787234,0.20186170212766
"135","inter-station",0.5,0.428571428571429,0.0714285714285714
"136","inter-station",0.673139158576052,0.497512437810945,0.175626720765107
"137","inter-station",0.314285714285714,0.25,0.0642857142857143
"138","inter-station",0.49079754601227,0.394160583941606,0.0966369620706641
"139","inter-station",0.678260869565217,0.5,0.178260869565217
"140","inter-station",0.8288,0.774261603375527,0.0545383966244726
"141","inter-station",0.550724637681159,0.415094339622642,0.135630298058518
"142","inter-station",0.5,0.361111111111111,0.138888888888889
"143","inter-station",0.461538461538462,0.416666666666667,0.0448717948717949
"144","inter-station",0.559006211180124,0.503496503496504,0.0555097076836207
"145","inter-station",0.426229508196721,0.385964912280702,0.0402645959160196
"146","inter-station",0.57,0.455696202531646,0.114303797468354
"147","inter-station",0.627450980392157,0.444444444444444,0.183006535947712
"148","inter-station",0.235294117647059,0.133333333333333,0.101960784313725
"149","inter-station",0.4,0.347826086956522,0.0521739130434783
"150","inter-station",0.5,0.333333333333333,0.166666666666667
"151","inter-station",0.750375939849624,0.646808510638298,0.103567429211326
"152","inter-station",0.607407407407407,0.47,0.137407407407407
"153","inter-station",NA,NA,NA
"154","inter-station",0.802,0.748091603053435,0.0539083969465649
"155","inter-station",0.850515463917526,0.783402489626556,0.0671129742909698
"156","inter-station",0.741525423728814,0.659217877094972,0.0823075466338415
"157","inter-station",0.831305758313058,0.798839458413926,0.0324662998991311
"158","inter-station",0.713804713804714,0.540540540540541,0.173264173264173
"159","inter-station",0.758620689655172,0.622950819672131,0.135669869983041
