code_spygen;code_explo;rep;date;station;site;region;country;project;sample_type;sample_method;time_start;time_end;duration_min;volume;depth;temperature;turbidity;habitat;habitat_type;filter;data_manager;gps_owner;comment;longitude_start_clean;latitude_start_clean;dist_to_coast..m.;dist_to_CT
SPY190574;MOI35;1;21/04/2019;glorieuse_distance_0m;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;11:10;11:40;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;tortue;47.29144;-11.56444;10;-9595.31
SPY190554;MOI35;2;21/04/2019;glorieuse_distance_0m;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;11:10;11:40;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;tortue;47.29144;-11.56444;10;-9595.31
SPY190586;MOI36;1;21/04/2019;glorieuse_distance_50m;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;12:05;12:35;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;47.28871;-11.56593;10;-9595.61
SPY190561;MOI36;2;21/04/2019;glorieuse_distance_50m;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;12:05;12:35;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;47.28871;-11.56593;10;-9595.61
SPY190580;MOI37;1;21/04/2019;glorieuse_distance_100m;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;13:05;13:35;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;47.28774;-11.56503;112;-9595.72
SPY190575;MOI37;2;21/04/2019;glorieuse_distance_100m;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;13:05;13:35;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;47.28774;-11.56503;112;-9595.72
SPY190578;MOI51;1;28/04/2019;tromelin_distance_0m;tromelin;West_Indian;France;megafauna;transect;transect_aller_retour;09:25;09:55;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;54.51736;-15.89278;55;-8817.56
SPY190588;MOI51;2;28/04/2019;tromelin_distance_0m;tromelin;West_Indian;France;megafauna;transect;transect_aller_retour;09:25;09:55;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;le capuchon blanc du filtre a sauté. on l'a remplacé par le capuchon d'un autre filtre;54.51736;-15.89278;55;-8817.56
SPY190592;MOI52;1;28/04/2019;tromelin_distance_50m;tromelin;West_Indian;France;megafauna;transect;transect_aller_retour;10:15;10:45;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;rain;54.51689;-15.89311;120;-8817.61
SPY190593;MOI52;2;28/04/2019;tromelin_distance_50m;tromelin;West_Indian;France;megafauna;transect;transect_aller_retour;10:15;10:45;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;rain;54.51689;-15.89311;120;-8817.61
SPY190567;MOI53;1;28/04/2019;tromelin_distance_100m;tromelin;West_Indian;France;megafauna;transect;transect_aller_retour;11:00;11:30;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;rain;54.5139;-15.89239;307;-8817.93
SPY190557;MOI53;2;28/04/2019;tromelin_distance_100m;tromelin;West_Indian;France;megafauna;transect;transect_aller_retour;11:00;11:30;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;rain;54.5139;-15.89239;307;-8817.93
SPY181060;LENG002;1;17/10/2017;LENG002;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:30;NA;NA;2;0;29.5;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97463;-4.11588;762;-320.29
SPY181049;LENG002;2;17/10/2017;LENG002;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:30;NA;NA;2;0;29.5;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97463;-4.11588;762;-320.29
SPY181059;LENG003;1;18/10/2017;LENG003;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:00;NA;NA;2;39;29.5;NA;marine;NA;0.22;JB Juhel;NA;NA;133.01915;-4.11785;2115;-319.33
SPY180180;LENG003;2;18/10/2017;LENG003;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:00;NA;NA;1.7;39;29.5;NA;marine;NA;0.22;JB Juhel;NA;Buffer does not cover all  the filter;133.01915;-4.11785;2115;-319.33
SPY181021;LENG004;1;18/10/2017;LENG004;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:15;NA;NA;2;0;30;NA;marine;NA;0.22;JB Juhel;NA;NA;133.02032;-4.11746;2103;-319.26
SPY181047;LENG004;2;18/10/2017;LENG004;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:15;NA;NA;2;0;30;NA;marine;NA;0.22;JB Juhel;NA;NA;133.02032;-4.11746;2103;-319.26
SPY181020;LENG005;1;18/10/2017;LENG005;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:00;NA;NA;2;0;30;NA;marine;NA;0.22;JB Juhel;NA;River estuary (saltwater);133.05912;-4.06037;258;-312.14
SPY181017;LENG005;2;18/10/2017;LENG005;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:00;NA;NA;2;0;30;NA;marine;NA;0.22;JB Juhel;NA;River estuary (saltwater);133.05912;-4.06037;258;-312.14
SPY181018;LENG006;1;19/10/2017;LENG006;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;07:00;NA;NA;2;0;30;NA;marine;NA;0.22;JB Juhel;NA;Replicate LENG004 - 2h before filtration;133.02032;-4.11746;2103;-319.26
SPY181022;LENG006;2;19/10/2017;LENG006;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;07:00;NA;NA;2;0;30;NA;marine;NA;0.22;JB Juhel;NA;Replicate LENG004 - 2h before filtration;133.02032;-4.11746;2103;-319.26
SPY181026;LENG007;1;20/10/2017;LENG007;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:15;NA;NA;2;0;30.8;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97571;-4.12453;201;-321.19
SPY181019;LENG007;2;20/10/2017;LENG007;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:15;NA;NA;2;0;30.8;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97571;-4.12453;201;-321.19
SPY181028;LENG008;1;21/10/2017;LENG008;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:10;NA;NA;2;100;26.5;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97514;-4.13307;1073;-322.12
SPY181015;LENG008;2;21/10/2017;LENG008;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:10;NA;NA;2;100;26.5;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97514;-4.13307;1073;-322.12
SPY181027;LENG009;1;21/10/2017;LENG009;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:00;NA;NA;2;30;29.2;NA;marine;NA;0.22;JB Juhel;NA;LENG007-8-9-10 same point. different depth;132.97514;-4.13307;1073;-322.12
SPY181023;LENG009;2;21/10/2017;LENG009;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:00;NA;NA;2;30;29.2;NA;marine;NA;0.22;JB Juhel;NA;NA;132.97514;-4.13307;1073;-322.12
SPY181016;LENG010;1;24/10/2017;LENG010;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:30;NA;NA;2;193;16.1;NA;marine;NA;0.22;JB Juhel;NA;sampling with niskin bottle;132.97421;-4.13565;1378;-322.43
SPY181014;LENG010;2;24/10/2017;LENG010;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:30;NA;NA;1.3;200;15.2;NA;marine;NA;0.22;JB Juhel;NA;LENG10 under thermocline;132.97421;-4.13565;1378;-322.43
SPY181025;LENG011;1;24/10/2017;LENG011;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;16:00;NA;NA;2;31;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.9769;-4.12602;262;-321.32
SPY181024;LENG011;2;24/10/2017;LENG011;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;16:00;NA;NA;2;31;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.9769;-4.12602;262;-321.32
SPY181012;LENG012;1;25/10/2017;LENG012;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:00;NA;NA;2;35;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.91273;-4.08471;10;-318.73
SPY181013;LENG012;2;25/10/2017;LENG012;nusa_ulan;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:00;NA;NA;1.9;35;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.91273;-4.08471;10;-318.73
SPY180181;LENG013;1;26/10/2017;LENG013;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.50134;-4.32327;2295;-334.07
SPY180182;LENG013;2;26/10/2017;LENG013;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.50134;-4.32327;2295;-334.07
SPY181057;LENG014;1;26/10/2017;LENG014;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:00;NA;NA;2;27;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.49826;-4.32135;2113;-333.88
SPY181044;LENG014;2;26/10/2017;LENG014;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:00;NA;NA;2;27;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.49826;-4.32135;2113;-333.88
SPY180183;LENG015;1;27/10/2017;LENG015;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:15;NA;NA;2;0;29.3;NA;marine;NA;0.22;JB Juhel;NA;NA;133.49443;-4.32225;1718;-334.01
SPY180184;LENG015;2;27/10/2017;LENG015;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:15;NA;NA;2;0;29.3;NA;marine;NA;0.22;JB Juhel;NA;NA;133.49443;-4.32225;1718;-334.01
SPY180984;LENG016;1;27/10/2017;LENG016;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:30;NA;NA;2;30;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.50023;-4.33406;1929;-335.27
SPY180970;LENG016;2;27/10/2017;LENG016;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:30;NA;NA;1.6;30;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.50023;-4.33406;1929;-335.27
SPY181050;LENG017;1;27/10/2017;LENG017;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:00;NA;NA;2;140;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.4866;-4.33682;567;-335.67
SPY181052;LENG017;2;27/10/2017;LENG017;pulau_venu;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:00;NA;NA;2;150;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;133.4866;-4.33682;567;-335.67
SPY181056;LENG018;1;31/10/2017;LENG018;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;16:30;NA;NA;2;80;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.03523;-3.90609;654;-290.06
SPY180971;LENG018;2;31/10/2017;LENG018;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;16:30;NA;NA;2;80;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.03523;-3.90609;654;-290.06
SPY180991;LENG019;1;31/10/2017;LENG019;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.03543;-3.90622;642;-290.07
