"SPY180774,""YPVD10"",2,""05/07/2018"",""patch3"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:27"",""10:07"",""40"",40,""0"",NA,0,""marine"","""",""123"",""13.32225"",""-81.36716"","""","""","""","""","""","""","""","""","""",""124"",""13.33839"",""-81.35116"",""123"",""13.32225"",""-81.36716"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site3""";
"SPY180581,""YMPL001"",1,""14/03/2018"",""control_lab"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""control"",""control"",""15:30"",""15:45"",""15"",7.2,"""",NA,NA,""marine"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"",""Contrôle négatif du système: sac à autoclave dans un bidon et collete de l'eau (eau milliQ) avec une bouteille niskin.  1.2L * 6 = 7.2 L / contrôle effectué dans labo sec du Yersin (JB. Florine. Claudia)"",NA,NA,NA,NA,NA,NA";
"SPY180582,""YMPL003"",1,""15/03/2018"",""malpelo_20m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""14:52"",""15:02"",""15"",24,""20"",NA,NA,""marine"","""",""E011"",""?3.99820"",""?-81.56845"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180583,""YMPL005"",1,""15/03/2018"",""malpelo_100m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""15:35"",""15:45"",""15"",6,""100"",NA,NA,""marine"","""",""E021"",""?3.99737"",""?-81.56515"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"",""Problème pompe: arrêt et remplacement"",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180584,""YMPL004"",1,""17/03/2018"",""malpelo_50m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""08:29"",""08:39"",""15"",12,""50"",NA,NA,""marine"","""",""E031"",""?4.00307"",""?-81.57030"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180585,""YMPL005"",2,""15/03/2018"",""malpelo_100m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""16:10"",""16:20"",""15"",18,""100"",NA,NA,""marine"","""",""E041"",""?4.00307"",""?-81.57030"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180586,""YMPL007"",1,""17/03/2018"",""malpelo_300m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""09:00"",""09:10"",""15"",12,""300"",NA,NA,""marine"","""",""E051"",""?4.00307"",""?-81.57030"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180587,""YMPL006"",1,""17/03/2018"",""malpelo_200m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""09:20"",""09:30"",""15"",12,""200"",NA,NA,""marine"","""",""E061"",""?4.00307"",""?-81.57030"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180588,""YMPL002"",1,""17/03/2018"",""malpelo_10m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""08:15"",""08:25"",""15"",12,""10"",NA,NA,""marine"","""",""E071"",""?4.00307"",""?-81.57030"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180589,""YMPL009"",1,""15/03/2018"",""malpelo1"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""15:12"",""15:42"",""30"",30,""0"",27.5,0,""marine"","""",""E081"",""?4.01142"",""?-81.59661"",""E082"",""?4.02025"",""?-81.61130"",""E083"",""?4.01692"",""?-81.61336"","""","""","""","""","""","""",""E084"",""?4.00738"",""?-81.59895"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180590,""YMPL009"",2,""15/03/2018"",""malpelo1"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""15:12"",""15:42"",""30"",30,""0"",27.5,0,""marine"","""",""E081"",""?4.01142"",""?-81.59661"",""E082"",""?4.02025"",""?-81.61130"",""E083"",""?4.01692"",""?-81.61336"","""","""","""","""","""","""",""E084"",""?4.00738"",""?-81.59895"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180591,""YMPL008"",1,""16/03/2018"",""malpelo_600m"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""09:50"","""","""",12,""600"",NA,NA,""marine"","""",""E091"",""?3.98735"",""?-81.57326"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""JB Juhel"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180592,""YMPL010"",1,""15/03/2018"",""malpelo2"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""16:13"",""16:43"",""30"",30,""0"",27.5,0,""marine"","""",""E101"",""?4.00685"",""?-81.60143"",""E102"",""?4.01102"",""?-81.60743"",""E103"",""?4.00202"",""?-81.61761"","""","""","""","""","""","""",""E105"",""?4.00278"",""?-81.61322"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180593,""YMPL014"",1,""17/03/2018"",""malpelo6"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""09:40"",""10:10"",""30"",30,""0"",26.3,0,""marine"","""",""E141"",""?3.98944"",""?-81.60462"",""E142"",""?3.97541"",""?-81.59322"",""E143"",""?3.97891"",""?-81.59038"","""","""","""","""","""","""",""E145"",""?3.99143"",""?-81.60401"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180594,""YMPL010"",2,""15/03/2018"",""malpelo2"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""16:13"",""16:43"",""30"",30,""0"",25,0,""marine"","""",""E101"",""?4.00685"",""?-81.60143"",""E102"",""?4.01102"",""?-81.60743"",""E103"",""?4.00202"",""?-81.61761"","""","""","""","""","""","""",""E105"",""?4.00278"",""?-81.61322"",0.2,""Florine Hadjadj"",""megafauna"",""Arrêt pompe à 15min et reprise"",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180595,""YMPL013"",1,""17/03/2018"",""malpelo5"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""08:39"",""09:09"",""30"",30,""0"",26.3,0,""marine"","""",""E131"",""?4.00885"",""?-81.60547"",""E132"",""?3.99963"",""?-81.61489"",""E133"",""?4.00166"",""?-81.61781"","""","""","""","""","""","""",""E134"",""?4.01077"",""?-81.60784"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180596,""YMPL011"",1,""16/03/2018"",""malpelo3"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""09:50"",""10:20"",""30"",30,""0"",25.4,0,""marine"","""",""E111"",""?4.00515"",""?-81.59995"",""E112"",""?4.00858"",""?-81.60355"",""E113"",""?3.99777"",""?-81.61281"","""","""","""","""","""","""",""E114"",""?3.99504"",""?-81.60963"",0.2,""Florine Hadjadj"",""megafauna"",""Observation : requin"",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180597,""YMPL011"",2,""16/03/2018"",""malpelo3"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""09:50"",""10:20"",""30"",30,""0"",25.4,0,""marine"","""",""E111"",""?4.00515"",""?-81.59995"",""E112"",""?4.00858"",""?-81.60355"",""E113"",""?3.99777"",""?-81.61281"","""","""","""","""","""","""",""E114"",""?3.99504"",""?-81.60963"",0.2,""Florine Hadjadj"",""megafauna"",""Observation : requin"",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180598,""YMPL013"",2,""17/03/2018"",""malpelo5"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""08:39"",""09:09"",""30"",30,""0"",26.3,0,""marine"","""",""E131"",""?4.00885"",""?-81.60547"",""E132"",""?3.99963"",""?-81.61489"",""E133"",""?4.00166"",""?-81.61781"","""","""","""","""","""","""",""E134"",""?4.01077"",""?-81.60784"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180599,""YMPL012"",1,""16/03/2018"",""malpelo4"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""10:58"",""11:28"",""30"",30,""0"",25.4,0,""marine"","""",""E121"",""?3.99871"",""?-81.62184"",""E122"",""?3.98932"",""?-81.60735"",""E123"",""?3.98549"",""?-81.61006"","""","""","""","""","""","""",""E124"",""?3.99590"",""?-81.62410"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180600,""YMPL015"",1,""20/03/2018"",""bois_flottant"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""point"",""niskin"",""20:15"",""20:30"",""15"",12,""0"",NA,NA,""marine"","""",""E151"",""?4.02167"",""?-81.58500"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",0.2,""Régis Hocdé"",""megafauna"",""Eau récoltée autour d'un bois  flottant. présence de poissons juvéniles. crabes. méduses. gastéropodes. copépodes. crustacés … "",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180602,""YMPL014"",2,""17/03/2018"",""malpelo6"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""09:40"",""10:10"",""30"",30,""0"",26.3,0,""marine"","""",""E141"",""?3.98944"",""?-81.60462"",""E142"",""?3.97541"",""?-81.59322"",""E143"",""?3.97891"",""?-81.59038"","""","""","""","""","""","""",""E145"",""?3.99143"",""?-81.60401"",0.2,""Florine Hadjadj"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180604,""YMPL012"",2,""16/03/2018"",""malpelo4"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""10:53"",""10:26"",""28"",30,""0"",25.4,0,""marine"","""",""E121"",""?3.99871"",""?-81.62184"",""E122"",""?3.98932"",""?-81.60735"",""E123"",""?3.98549"",""?-81.61006"","""","""","""","""","""","""",""E124"",""?3.99590"",""?-81.62410"",0.2,""Florine Hadjadj"",""megafauna"",""Arrêt pompe à 28min"",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180782,""YMPL016"",1,""25/03/2018"",""camera1"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rond"",""10:00"",""10:30"",""30"",30,""0"",NA,2,""marine"","""",""E161"",""?4.00594"",""?-81.60334"","""","""","""","""","""","""","""","""","""","""","""","""",""E162"",""?4.00437"",""?-81.60217"",0.2,""Virginie Marques"",""megafauna"",""Observation : green turtle. eagle rays"",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180778,""YMPL016"",2,""25/03/2018"",""camera1"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rond"",""10:00"",""10:30"",""30"",30,""0"",NA,2,""marine"","""",""E161"",""?4.00594"",""?-81.60334"","""","""","""","""","""","""","""","""","""","""","""","""",""E162"",""?4.00437"",""?-81.60217"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180781,""YMPL017"",1,""25/03/2018"",""camera2"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rond"",""17:05"",""17:35"",""30"",30,""0"",NA,2,""marine"","""",""E171"",""?4.00276"",""?-81.60248"","""","""","""","""","""","""","""","""","""","""","""","""",""E172"",""?4.00371"",""?-81.60393"",0.2,""Virginie Marques"",""megafauna"",""Observation : eagle ray on surface "",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180776,""YMPL017"",2,""25/03/2018"",""camera2"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rond"",""17:05"",""17:35"",""30"",30,""0"",NA,2,""marine"","""",""E171"",""?4.00276"",""?-81.60248"","""","""","""","""","""","""","""","""","""","""","""","""",""E172"",""?4.00371"",""?-81.60393"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180605,""YMPL018"",1,""26/03/2018"",""camera3"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rond"",""09:45"",""10:15"",""30"",30,""0"",NA,2,""marine"","""",""E181"",""?4.00286"",""?-81.60259"","""","""","""","""","""","""","""","""","""","""","""","""",""E182"",""?4.00220"",""?-81.60234"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180601,""YMPL018"",2,""26/03/2018"",""camera3"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rond"",""09:45"",""10:15"",""30"",30,""0"",NA,2,""marine"","""",""E181"",""?4.00286"",""?-81.60259"","""","""","""","""","""","""","""","""","""","""","""","""",""E182"",""?4.00220"",""?-81.60234"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site4""";
"SPY180603,""YMPL019"",1,""27/03/2018"",""bruv1"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""08:57"",""09:27"",""30"",30,""0"",NA,2,""marine"","""",""E191"",""?3.99357"",""?-81.61842"",""E192"",""?3.99352"",""?-81.62292"",""E193"",""?3.97565"",""?-81.62429"",""E194"",""?3.97536"",""?-81.61981"","""","""","""",""E195"",""?3.98820"",""?-81.61871"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180775,""YMPL019"",2,""27/03/2018"",""bruv1"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""08:57"",""09:27"",""30"",30,""0"",NA,2,""marine"","""",""E191"",""?3.99357"",""?-81.61842"",""E192"",""?3.99352"",""?-81.62292"",""E193"",""?3.97565"",""?-81.62429"",""E194"",""?3.97536"",""?-81.61981"","""","""","""",""E195"",""?3.98820"",""?-81.61871"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180779,""YMPL020"",1,""27/03/2018"",""bruv2"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""10:23"",""10:53"",""30"",30,""0"",NA,2,""marine"","""",""E201"",""?3.99290"",""?-81.62050"",""E202"",""?3.97631"",""?-81.62759"",""E203"",""?3.97383"",""?-81.62380"",""E204"",""?3.98855"",""?-81.61583"","""","""","""",""E204"",""?3.98855"",""?-81.61583"",0.2,""Virginie Marques"",""megafauna"",""Observation : commun bottlenose dolphin"",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
"SPY180777,""YMPL020"",2,""27/03/2018"",""bruv2"",""malpelo"",""Tropical_East_Pacific"",""Columbia"",""megafauna"",""transect"",""transect_rectangle"",""10:23"",""10:53"",""30"",30,""0"",NA,2,""marine"","""",""E201"",""?3.99290"",""?-81.62050"",""E202"",""?3.97631"",""?-81.62759"",""E203"",""?3.97383"",""?-81.62380"",""E204"",""?3.98855"",""?-81.61583"","""","""","""",""E204"",""?3.98855"",""?-81.61583"",0.2,""Virginie Marques"",""megafauna"","""",""site2"",""site2"",""site2"",""site2"",""site2"",""site5""";
