"","station","lat","long","site35","site30","site25","site20","site10","site5"
"138","glorieuse_300m_200m",-11.5581,47.2857,"site15","site15","site16","site17","site21","site32"
"139","glorieuse_300m_300m",-11.5581,47.2857,"site15","site15","site16","site17","site21","site32"
"140","tromelin_300m_0m",-15.89453623,54.51575373,"site16","site16","site17","site18","site22","site33"
"141","tromelin_300m_50m",-15.89453623,54.51575373,"site16","site16","site17","site18","site22","site33"
"142","tromelin_300m_100m",-15.89453623,54.51575373,"site16","site16","site17","site18","site22","site33"
"143","tromelin_300m_150m",-15.89453623,54.51575373,"site16","site16","site17","site18","site22","site33"
"144","tromelin_300m_200m",-15.89453623,54.51575373,"site16","site16","site17","site18","site22","site33"
"145","tromelin_300m_300m",-15.89453623,54.51575373,"site16","site16","site17","site18","site22","site33"
"146","tromelin_distance_0m",-15.89278,54.51736,"site16","site16","site17","site18","site22","site33"
"147","tromelin_distance_50m",-15.89311,54.51689,"site16","site16","site17","site18","site22","site33"
"148","tromelin_distance_100m",-15.89239,54.5139,"site16","site16","site17","site18","site22","site33"
"149","Seamount_nearTromelin_0m",-15.93020533,54.50882665,"site16","site16","site17","site18","site22","site33"
"150","Seamount_nearTromelin_300m",-15.93020533,54.50882665,"site16","site16","site17","site18","site22","site33"
"151","Seamount_nearTromelin_600m",-15.93020533,54.50882665,"site16","site16","site17","site18","site22","site33"
"152","atlantic_1",46.8961393,-4.7780248,"site17","site17","site18","site19","site23","site34"
"153","atlantic_2",46.3147228,-4.2150256,"site18","site18","site19","site20","site24","site35"
"154","atlantic_3",46.0509606,-3.8861062,"site19","site19","site20","site21","site25","site36"
"155","atlantic_4",45.8907485,-3.2114348,"site20","site20","site21","site22","site26","site37"
"156","atlantic_5",45.2438012,-3.2297848,"site21","site21","site22","site23","site27","site38"
"157","atlantic_6",44.8782105,-1.8595568,"site22","site22","site23","site24","site28","site39"
"158","atlantic_7",44.2505771,-1.8937318,"site23","site23","site24","site25","site29","site40"
