"","code_spygen","code_explo","rep","date","station","site","region","country","project","sample_type","sample_method","time_start","time_end","duration_min","volume","depth","temperature","turbidity","habitat","gps_start","latitude_start","longitude_start","gps_b","lat_gps_b","long_gps_b","gps_c","lat_gps_c","long_gps_c","gps_d","lat_gps_d","long_gps_d","gps_half_turn","latitude_turn","longitude_turn","gps_end","latitude_end","longitude_end","filter","data_manager","gps_owner","comment","longitude_start_clean","latitude_start_clean"
"17","SPY181728","YPVD09",1,"04/07/2018","patch2","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:56","10:34","38",40,"0",NA,0,"marine","119","13.36726","-81.41335",NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","13.34492","-81.41827","119","13.36726","-81.41335",0.2,"JB Juhel","JB Juhel",NA,"-81.41335","13.36726"
"18","SPY181722","YPVD09",2,"04/07/2018","patch2","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:56","10:34","38",40,"0",NA,0,"marine","119","13.36726","-81.41335",NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","13.34492","-81.41827","119","13.36726","-81.41335",0.2,"JB Juhel","JB Juhel",NA,"-81.41335","13.36726"
"19","SPY181716","YPVD10",1,"05/07/2018","patch3","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:27","10:07","40",40,"0",NA,0,"marine","123","13.32225","-81.36716",NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","13.33839","-81.35116","123","13.32225","-81.36716",0.2,"JB Juhel","JB Juhel","Zigzag entre les patates au niveau barrière interne","-81.36716","13.32225"
"20","SPY180774","YPVD10",2,"05/07/2018","patch3","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:27","10:07","40",40,"0",NA,0,"marine","123","13.32225","-81.36716",NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","13.33839","-81.35116","123","13.32225","-81.36716",0.2,"JB Juhel","JB Juhel",NA,"-81.36716","13.32225"
"57","SPY173261","YGA007",1,"28/02/2018","anse_bertrand_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:03","15:33","30",30,"0",28,0,"marine","E61","?16.48538","?-61.50429","E62","?16.49499","?-61.48521","E63","?16.49877","?-61.48784","E64","?16.49212","?-61.50035",NA,NA,NA,"E64","?16.49212","?-61.50035",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)","-61.50429","16.48538"
"58","SPY173262","YGA007",2,"28/02/2018","anse_bertrand_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:03","15:33","30",30,"0",28,0,"marine","E61","?16.48538","?-61.50429","E62","?16.49499","?-61.48521","E63","?16.49877","?-61.48784","E64","?16.49212","?-61.50035",NA,NA,NA,"E64","?16.49212","?-61.50035",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)","-61.50429","16.48538"
"59","SPY173263","YGA008",1,"28/02/2018","anse_bertrand_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","16:12","16:42","30",30,"0",28,0,"marine","E71","?16.50096","?-61.51445","E72","?16.51337","?-61.50085","E73","?16.51668","?-61.50405","E74","?16.50611","?-61.51916",NA,NA,NA,"E75","?16.50245","?-61.51697",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)","-61.51445","16.50096"
"60","SPY173264","YGA008",2,"28/02/2018","anse_bertrand_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","16:12","16:42","30",30,"0",28,0,"marine","E71","?16.50096","?-61.51445","E72","?16.51337","?-61.50085","E73","?16.51668","?-61.50405","E74","?16.50611","?-61.51916",NA,NA,NA,"E75","?16.50245","?-61.51697",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)","-61.51445","16.50096"
"61","SPY173265","YGA009",1,"28/02/2018","anse_colas","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","17:45","18:15","30",30,"0",28,0,"marine","E81","?16.47047","?-61.52166","E82","?16.45774","?-61.53509","E83","?16.46083","?-61.53851","E84","?16.46083","?-61.52590",NA,NA,NA,"E84","?16.46083","?-61.52590",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles) / Pompe prototype à débit 0,91L/min théorique","-61.52166","16.47047"
"62","SPY173266","YGA009",2,"28/02/2018","anse_colas","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","17:45","18:15","30",30,"0",28,0,"marine","E81","?16.47047","?-61.52166","E82","?16.45774","?-61.53509","E83","?16.46083","?-61.53851","E84","?16.46083","?-61.52590",NA,NA,NA,"E84","?16.46083","?-61.52590",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)","-61.52166","16.47047"
"63","SPY173267","YGA010",1,"01/03/2018","bouillante_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","9:35","10:05","30",30,"0",28,0,"marine","E91","?16.07855","?-61.85716","E92","?16.08127","?-61.85252","E93","?16.09919","?-61.85313","E94","?16.09772","?-61.85753",NA,NA,NA,"E95","?16.08154","?-61.85836",0.2,"Virginie Marques","megafauna","Observation pseudoOrque (minium 6 visibles + nombreux a priori non visible sur zone)","-61.85716","16.07855"
"64","SPY173268","YGA010",2,"01/03/2018","bouillante_large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","9:35","10:05","30",30,"0",28,0,"marine","E91","?16.07855","?-61.85716","E92","?16.08127","?-61.85252","E93","?16.09919","?-61.85313","E94","?16.09772","?-61.85753",NA,NA,NA,"E95","?16.08154","?-61.85836",0.2,"Virginie Marques","megafauna","Observation pseudoOrque (minium 6 visibles + nombreux a priori non visible sur zone) /Pompe prototype à débit 0,91L/min théorique","-61.85716","16.07855"
"65","SPY173281","YGA017",1,"03/03/2018","chateau_petite_terre","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","10:21","10:41","20",30,"0",28,0,"marine","E171","?16.20771","?-61.14683","E172","?16.22309","?-61.15646","E173","?16.22562","?-61.15257","E174","?16.22140","?-61.14821",NA,NA,NA,"E174","?16.22140","?-61.14821",0.2,"Virginie Marques","megafauna","Problème technique pompe 2","-61.14683","16.20771"
"66","SPY173275","YGA014",1,"02/03/2018","fajou","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","10:10","10:40","30",30,"0",28,0,"marine","E141","?16.35900","?-61.57521","E142","?16.35994","?-61.59384","E143","?16.36443","?-61.59339","E144","?16.36451","?-61.57498",NA,NA,NA,"E145","?16.36432","?-61.57496",0.2,"Virginie Marques","megafauna","Proche réserve Fajou, côté barrière de corail. ","-61.57521","16.35900"
"67","SPY173276","YGA014",2,"02/03/2018","fajou","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","10:10","10:40","30",30,"0",28,0,"marine","E141","?16.35900","?-61.57521","E142","?16.35994","?-61.59384","E143","?16.36443","?-61.59339","E144","?16.36451","?-61.57498",NA,NA,NA,"E145","?16.36432","?-61.57496",0.2,"Virginie Marques","megafauna","Proche réserve Fajou, côté barrière de corail. ","-61.57521","16.35900"
"68","SPY173273","YGA013",1,"02/03/2018","jardin_eden","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","09:03","09:33","30",30,"0",28,0,"marine","E131","?16.37651","?-61.52821","E132","?16.35956","?-61.52274","E133","?16.36119","?-61.51821","E134","?16.37721","?-61.52417",NA,NA,NA,"E135","?16.37721","?-61.52417",0.2,"Virginie Marques","megafauna",NA,"-61.52821","16.37651"
"69","SPY173274","YGA013",2,"02/03/2018","jardin_eden","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","09:03","09:33","30",30,"0",28,0,"marine","E131","?16.37651","?-61.52821","E132","?16.35956","?-61.52274","E133","?16.36119","?-61.51821","E134","?16.37721","?-61.52417",NA,NA,NA,"E135","?16.37721","?-61.52417",0.2,"Virginie Marques","megafauna",NA,"-61.52821","16.37651"
"70","SPY173251","YGA002",1,"26/02/2018","petit_cul_de_sac_marin_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:00","15:30","30",30,"0",28,0,"marine","E11","?16.20352","?-61.53646","E12","?16.18854","?-61.54670","E13","?16.18543","?-61.54323","E14","?16.20063","?-61.53322",NA,NA,NA,"E14","?16.20063","?-61.53322",0.2,"Virginie Marques","megafauna",NA,"-61.53646","16.20352"
"71","SPY173252","YGA002",2,"26/02/2018","petit_cul_de_sac_marin_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:00","15:30","30",30,"0",28,0,"marine","E11","?16.20352","?-61.53646","E12","?16.18854","?-61.54670","E13","?16.18543","?-61.54323","E14","?16.20063","?-61.53322",NA,NA,NA,"E14","?16.20063","?-61.53322",0.2,"Virginie Marques","megafauna",NA,"-61.53646","16.20352"
"72","SPY173250","YGA001",1,"26/02/2018","petit_cul_de_sac_marin_Large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","12:50","13:20","30",30,"0",28,0,"marine","E01","?16.15962","?-61.50619","E02","?16.14538","?-61.51763","E03","?16.14256","?-61.51380","E04","?16.15494","?-61.50335",NA,NA,NA,"E04","?16.15494","?-61.50335",0.2,"Virginie Marques","megafauna","Risque contamination homme + bateau / réplicat = SPY180501","-61.50619","16.15962"
"73","SPY180501","YGA001",2,"26/02/2018","petit_cul_de_sac_marin_Large","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","12:50","13:20","30",30,"0",28,0,"marine","E01","?16.15962","?-61.50619","E02","?16.14538","?-61.51763","E03","?16.14256","?-61.51380","E04","?16.15494","?-61.50335",NA,NA,NA,"E04","?16.15494","?-61.50335",0.2,"Virginie Marques","megafauna","Risque contamination homme + bateau/ réplicat = SPY1733250","-61.50619","16.15962"
"74","SPY173282","YGA018",1,"03/03/2018","petite_terre1","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:10","11:40","30",30,"0",28,0,"marine","E181","?16.18316","?-61.11949","E182","?16.16357","?-61.11470",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E182","?16.16357","?-61.11470",0.2,"Virginie Marques","megafauna","Problème technique pompe 2. Transect côtier. ","-61.11949","16.18316"
"75","SPY173283","YGA019",1,"03/03/2018","petite_terre2","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","12:00","12:30","30",30,"0",28,0,"marine","E191","?16.17763","?-61.09994","E192","?16.17519","?-61.13187",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E192","?16.17519","?-61.13187",0.2,"Virginie Marques","megafauna","Problème technique pompe 2, un dauphin proche côte. Zone fréquentée très majoritairement par des Tursiops. Transect côtier empiète sur Petite Terre 1. ","-61.09994","16.17763"
"76","SPY173280","YGA016",1,"03/03/2018","pointe_chateau","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","08:52","09:22","30",30,"0",28,0,"marine","E161","?16.24619","?-61.21300","E162","?16.24393","?-61.19560","E163","?16.23943","?-61.19513","E164","?16.24471","?-61.21300",NA,NA,NA,"E165","?16.24631","?-61.21234",0.2,"Virginie Marques","megafauna","Problème technique pompe 2","-61.21300","16.24619"
"77","SPY173259","YGA006",1,"27/02/2018","pointe_ferry","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:36","11:50","14",14,"0",28,0,"marine","E51","?16.26170","?-61.82218","E52","?16.27359","?-61.82390","E53","?16.27940","?-61.82426",NA,NA,NA,NA,NA,NA,"E53","?16.27940","?-61.82426",0.2,"Virginie Marques","megafauna","Colmatage capsule car aspire de l'air car bateau trop haut sur l'eau (explotision capsule, perte à l'eau et récupérée après 5 min)","-61.82218","16.26170"
"78","SPY173260","YGA006",2,"27/02/2018","pointe_ferry","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:36","11:50","14",14,"0",28,0,"marine","E51","?16.26170","?-61.82218","E52","?16.27359","?-61.82390","E53","?16.27940","?-61.82426",NA,NA,NA,NA,NA,NA,"E53","?16.27940","?-61.82426",0.2,"Virginie Marques","megafauna","Colmatage capsule car aspire de l'air car bateau trop haut sur l'eau;","-61.82218","16.26170"
"79","SPY173271","YGA012",3,"01/03/2018","pointe_ferry","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","12:10","12:33","23",23,"0",28,0,"marine","E121","?16.26194","?-61.82252","E122","?16.27987","?-61.81971","E123","?16.27934","?-61.82436","E124","?16.26924","?-61.82560",NA,NA,NA,"E124","?16.26924","?-61.82560",0.2,"Virginie Marques","megafauna","Arrête pompe proto pompage air colmatage pompe car sargasse accumulée faisant remonter le fil car portance","-61.82252","16.26194"
"80","SPY173272","YGA012",4,"01/03/2018","pointe_ferry","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","12:10","12:33","23",2,"0",28,0,"marine","E121","?16.26194","?-61.82252","E122","?16.27987","?-61.81971","E123","?16.27934","?-61.82436","E124","?16.26924","?-61.82560",NA,NA,NA,"E124","?16.26924","?-61.82560",0.2,"Virginie Marques","megafauna","Arrête pompe proto pompage air colmatage pompe  car sargasse accumulée faisant remonter le fil car portance /Pompe prototype à débit 0,91L/min théorique","-61.82252","16.26194"
"83","SPY173255","YGA004",1,"27/02/2018","sec_nord","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","8:07","8:25","18",18,"0",28,0,"marine","E31","?16.24518","?-61.87116","E32","?16.23587","?-61.88717","E33","?16.23233","?-61.88434","E34","?16.23419","?-61.88118",NA,NA,NA,"E34","?16.23419","?-61.88118",0.2,"Virginie Marques","megafauna","Colmatage capsule car aspire de l'air car bateau trop haut sur l'eau (explotision capsule, perte à l'eau et récupérée après 5 min)","-61.87116","16.24518"
"84","SPY173256","YGA004",2,"27/02/2018","sec_nord","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","8:07","8:25","18",18,"0",28,0,"marine","E31","?16.24518","?-61.87116","E32","?16.23587","?-61.88717","E33","?16.23233","?-61.88434","E34","?16.23419","?-61.88118",NA,NA,NA,"E34","?16.23419","?-61.88118",0.2,"Virginie Marques","megafauna","Colmatage capsule car aspire de l'air car bateau trop haut sur l'eau;","-61.87116","16.24518"
"85","SPY173257","YGA005",1,"27/02/2018","sec_sud_1","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","9:58","10:20","22",22,"0",28,0,"marine","E41","?16.15732","?-61.87493","E42","?16.14000","?-61.86901","E43","?16.14120","?-61.86456","E44","?16.14581","?-61.86575",NA,NA,NA,"E44","?16.14581","?-61.86575",0.2,"Virginie Marques","megafauna","Banc de dauphins Tacheté tropicaux (à 1m de la crépine pendant plusieurs minutes). Colmatage capsule car aspire de l'aire car bateau trop haut sur l'eau;","-61.87493","16.15732"
"86","SPY173258","YGA005",2,"27/02/2018","sec_sud_1","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","9:58","10:20","22",22,"0",28,0,"marine","E41","?16.15732","?-61.87493","E42","?16.14000","?-61.86901","E43","?16.14120","?-61.86456","E44","?16.14581","?-61.86575",NA,NA,NA,"E44","?16.14581","?-61.86575",0.2,"Virginie Marques","megafauna","Banc de dauphins Tacheté tropicaux (à 1m de la crépine pendant plusieurs minutes)","-61.87493","16.15732"
"87","SPY173269","YGA011",1,"01/03/2018","sec_sud_2","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:02","11:11","9",9,"0",28,0,"marine","E111","?16.14098","?-61.86440","E112","?16.15285","?-61.86782",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E112","?16.15285","?-61.86782",0.2,"Virginie Marques","megafauna","Arrête pompe proto à 1,1km pb pompage air colmatage pompe","-61.86440","16.14098"
"88","SPY173270","YGA011",2,"01/03/2018","sec_sud_2","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:02","11:11","9",9,"0",28,0,"marine","E111","?16.14098","?-61.86440","E112","?16.15285","?-61.86782",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E112","?16.15285","?-61.86782",0.2,"Virginie Marques","megafauna","Arrête pompe proto à 1,1km pb pompage air colmatage pompe /Pompe prototype à débit 0,91L/min théorique","-61.86440","16.14098"
"89","SPY173278","YGA015",1,"02/03/2018","st_rose","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:34","12:04","30",30,"0",28,0,"marine","E151","?16.32673","?-61.67195","E152","?16.33806","?-61.68644","E153","?16.34145","?-61.68335","E154","?16.33061","?-61.66848",NA,NA,NA,"E155","?16.32765","?-61.67095",0.2,"Virginie Marques","megafauna","Proche lamentin, côté lagon. ","-61.67195","16.32673"
"90","SPY173279","YGA015",2,"02/03/2018","st_rose","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","11:34","12:04","30",30,"0",28,0,"marine","E151","?16.32673","?-61.67195","E152","?16.33806","?-61.68644","E153","?16.34145","?-61.68335","E154","?16.33061","?-61.66848",NA,NA,NA,"E155","?16.32765","?-61.67095",0.2,"Virginie Marques","megafauna","Proche lamentin, côté lagon. ","-61.67195","16.32673"
"91","SPY181920","YPF001",1,"19/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","08:59","09:30","30",30,"0",NA,NA,"marine","33","-16.500305","-145.447768",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","-16.48544","-145.430314","36","-16.498969","-145.447519",0.2,"Virginie Marques","megafauna","Tuyau transp - très long à lancer","-145.447768","-16.500305"
"92","SPY181919","YPF001",2,"19/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","08:59","09:30","30",30,"0",NA,NA,"marine","33","-16.500305","-145.447768",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","-16.48544","-145.430314","36","-16.498969","-145.447519",0.2,"Virginie Marques","megafauna","Tuyau transp - très long à lancer","-145.447768","-16.500305"
"93","SPY181941","YPF002",3,"19/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","11:10","11:40","30",30,"0",NA,NA,"marine","40","-16.500979","-145.449233",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","-16.492545","-145.439254","42","-16.504211","-145.451849",0.2,"Virginie Marques","megafauna","Tuyau transp - très long à lancer","-145.449233","-16.500979"
"94","SPY181911","YPF002",4,"19/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","12:23","12:45","22",22,"0",NA,NA,"marine","43","-16.500383","-145.447721",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","-16.485035","-145.430644","45","-16.491784","-145.439291",0.2,"Virginie Marques","megafauna","Tuyau blanc - pump stopped working at 22'","-145.447721","-16.500383"
"95","SPY181533","YPF003",5,"20/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","08:01","08:31","30",30,"0",NA,NA,"marine","46","-16.500328","-145.44823",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","-16.4854","-145.431085","48","-16.493118","-145.440181",0.2,"Virginie Marques","megafauna","Problem pump - stopped multiple times: total stopped time = 5'","-145.44823","-16.500328"
"96","SPY181914","YPF003",6,"20/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","08:57","09:30","30",30,"0",NA,NA,"marine","49","-16.499774","-145.447065",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","-16.485841","-145.434049",NA,NA,NA,0.2,"Virginie Marques","megafauna","Problem pump - stopped for 8' and transect completed only one side","-145.447065","-16.499774"
"97","SPY181832","YPF004",7,"20/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","09:55","10:30","30",30,"0",NA,NA,"marine","51","-16.500438","-145.447461",NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","-16.485325","-145.430616","53","-16.491767","-145.438592",0.2,"Virginie Marques","megafauna","Problem pump - stopped multiple times: total stopped time = 5'","-145.447461","-16.500438"
"98","SPY181921","YPF005",8,"21/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","13:59","14:25","26",26,"0",NA,NA,"marine","54","-16.499381","-145.446963",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","-16.484506","-145.430035","56","-16.487019","-145.434149",0.2,"Virginie Marques","megafauna","Problem pump - stopped at 26'","-145.446963","-16.499381"
"99","SPY181916","YPF005",9,"21/06/2018","lagon_faka","fakarava","French_Polynesia","France","megafauna","transect","transect_aller_retour","14:57","15:23","26",26,"0",NA,NA,"marine","57","-16.500378","-145.447254",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","-16.484938","-145.430514","59","-16.486792","-145.433568",0.2,"Virginie Marques","megafauna","Problem pump - stopped at 26'","-145.447254","-16.500378"
