"","Var1","Freq","site"
"482","Potamotrygonidae",2,"triton_bay"
"213","Ambassidae",1,"triton_bay"
"313","Anomalopidae",1,"triton_bay"
"512","Atherinidae",1,"triton_bay"
"612","Aulostomidae",1,"triton_bay"
"86","Blenniidae",1,"triton_bay"
"122","Cirrhitidae",1,"triton_bay"
"142","Congridae",1,"triton_bay"
"152","Cyprinodontidae",1,"triton_bay"
"162","Dactylopteridae",1,"triton_bay"
"182","Diodontidae",1,"triton_bay"
"192","Drepaneidae",1,"triton_bay"
"222","Ephippidae",1,"triton_bay"
"242","Gerreidae",1,"triton_bay"
"282","Kyphosidae",1,"triton_bay"
"332","Malacanthidae",1,"triton_bay"
"352","Moringuidae",1,"triton_bay"
"422","Orectolobidae",1,"triton_bay"
"432","Osphronemidae",1,"triton_bay"
"442","Paralepididae",1,"triton_bay"
"452","Pempheridae",1,"triton_bay"
"502","Pseudochromidae",1,"triton_bay"
"513","Rhinobatidae",1,"triton_bay"
"582","Terapontidae",1,"triton_bay"
"602","Triacanthidae",1,"triton_bay"
"613","Trichiuridae",1,"triton_bay"
"622","Zanclidae",1,"triton_bay"
"303","Lutjanidae",26,"kitikiti"
"114","Acanthuridae",24,"kitikiti"
"503","Serranidae",23,"kitikiti"
"283","Labridae",22,"kitikiti"
"414","Apogonidae",15,"kitikiti"
"223","Gobiidae",15,"kitikiti"
"443","Pomacentridae",15,"kitikiti"
"373","Myctophidae",12,"kitikiti"
"433","Pomacanthidae",12,"kitikiti"
"293","Lethrinidae",11,"kitikiti"
"514","Balistidae",9,"kitikiti"
"253","Holocentridae",9,"kitikiti"
"353","Mullidae",7,"kitikiti"
"712","Carangidae",6,"kitikiti"
"153","Dasyatidae",6,"kitikiti"
"233","Haemulidae",6,"kitikiti"
"87","Carcharhinidae",5,"kitikiti"
"103","Chaetodontidae",5,"kitikiti"
"493","Scombridae",5,"kitikiti"
"183","Engraulidae",3,"kitikiti"
"563","Tetraodontidae",3,"kitikiti"
"133","Clupeidae",2,"kitikiti"
"203","Exocoetidae",2,"kitikiti"
"273","Kyphosidae",2,"kitikiti"
"314","Malacanthidae",2,"kitikiti"
"363","Muraenidae",2,"kitikiti"
"393","Nomeidae",2,"kitikiti"
"515","Siganidae",2,"kitikiti"
"533","Sphyraenidae",2,"kitikiti"
"553","Synodontidae",2,"kitikiti"
"573","Trichiuridae",2,"kitikiti"
"214","Alopiidae",1,"kitikiti"
"315","Anomalopidae",1,"kitikiti"
"614","Blenniidae",1,"kitikiti"
"93","Ceratiidae",1,"kitikiti"
"115","Chlopsidae",1,"kitikiti"
"123","Cirrhitidae",1,"kitikiti"
"143","Congridae",1,"kitikiti"
"163","Diodontidae",1,"kitikiti"
"173","Emmelichthyidae",1,"kitikiti"
"193","Ephippidae",1,"kitikiti"
"215","Fistulariidae",1,"kitikiti"
"243","Hemiscylliidae",1,"kitikiti"
"263","Istiophoridae",1,"kitikiti"
"323","Monacanthidae",1,"kitikiti"
"333","Monocentridae",1,"kitikiti"
"343","Mugilidae",1,"kitikiti"
"383","Myliobatidae",1,"kitikiti"
"403","Opistognathidae",1,"kitikiti"
"415","Osphronemidae",1,"kitikiti"
"423","Ostraciidae",1,"kitikiti"
"453","Potamotrygonidae",1,"kitikiti"
"463","Priacanthidae",1,"kitikiti"
"473","Pseudochromidae",1,"kitikiti"
"483","Salmonidae",1,"kitikiti"
"523","Sparidae",1,"kitikiti"
"543","Synaphobranchidae",1,"kitikiti"
"583","Zanclidae",1,"kitikiti"
"593","Zenionidae",1,"kitikiti"
"174","Lutjanidae",9,"cap_west"
"264","Serranidae",8,"cap_west"
"116","Acanthuridae",6,"cap_west"
"184","Myctophidae",6,"cap_west"
"516","Carangidae",5,"cap_west"
"244","Scombridae",5,"cap_west"
"316","Apogonidae",3,"cap_west"
"94","Exocoetidae",3,"cap_west"
"154","Labridae",3,"cap_west"
"416","Balistidae",2,"cap_west"
"88","Engraulidae",2,"cap_west"
"124","Holocentridae",2,"cap_west"
"224","Pomacentridae",2,"cap_west"
"216","Ambassidae",1,"cap_west"
"615","Congridae",1,"cap_west"
"713","Dasyatidae",1,"cap_west"
"104","Gerreidae",1,"cap_west"
"117","Haemulidae",1,"cap_west"
"134","Istiophoridae",1,"cap_west"
"144","Kyphosidae",1,"cap_west"
"164","Lethrinidae",1,"cap_west"
"194","Myliobatidae",1,"cap_west"
"204","Nomeidae",1,"cap_west"
"217","Orectolobidae",1,"cap_west"
"234","Priacanthidae",1,"cap_west"
"254","Scorpaenidae",1,"cap_west"
"274","Sphyraenidae",1,"cap_west"
"284","Tetraodontidae",1,"cap_west"
"195","Myctophidae",7,"channel_sorong"
"155","Labridae",5,"channel_sorong"
"165","Lutjanidae",5,"channel_sorong"
"245","Scombridae",4,"channel_sorong"
"225","Pomacentridae",3,"channel_sorong"
"255","Serranidae",3,"channel_sorong"
"218","Apogonidae",2,"channel_sorong"
"616","Carangidae",2,"channel_sorong"
"89","Chaetodontidae",2,"channel_sorong"
"105","Dussumieriidae",2,"channel_sorong"
"118","Engraulidae",2,"channel_sorong"
"125","Exocoetidae",2,"channel_sorong"
"275","Sphyraenidae",2,"channel_sorong"
"119","Acanthuridae",1,"channel_sorong"
"317","Balistidae",1,"channel_sorong"
"417","Belonidae",1,"channel_sorong"
"517","Bramidae",1,"channel_sorong"
"714","Carcharhinidae",1,"channel_sorong"
"95","Diodontidae",1,"channel_sorong"
"135","Fistulariidae",1,"channel_sorong"
"145","Gobiidae",1,"channel_sorong"
"175","Mullidae",1,"channel_sorong"
"185","Muraenidae",1,"channel_sorong"
"205","Nomeidae",1,"channel_sorong"
"219","Orectolobidae",1,"channel_sorong"
"235","Potamotrygonidae",1,"channel_sorong"
"265","Siganidae",1,"channel_sorong"
"285","Synodontidae",1,"channel_sorong"
"206","Lutjanidae",17,"pulau_pisang"
"276","Pomacentridae",12,"pulau_pisang"
"186","Labridae",11,"pulau_pisang"
"220","Apogonidae",10,"pulau_pisang"
"120","Acanthuridae",6,"pulau_pisang"
"324","Serranidae",6,"pulau_pisang"
"418","Balistidae",4,"pulau_pisang"
"518","Carangidae",4,"pulau_pisang"
"715","Clupeidae",4,"pulau_pisang"
"106","Engraulidae",4,"pulau_pisang"
"136","Gobiidae",4,"pulau_pisang"
"226","Mullidae",4,"pulau_pisang"
"126","Exocoetidae",3,"pulau_pisang"
"196","Lethrinidae",3,"pulau_pisang"
"236","Muraenidae",3,"pulau_pisang"
"246","Myctophidae",3,"pulau_pisang"
"318","Scombridae",3,"pulau_pisang"
"319","Atherinidae",2,"pulau_pisang"
"810","Dasyatidae",2,"pulau_pisang"
"1110","Ephippidae",2,"pulau_pisang"
"156","Holocentridae",2,"pulau_pisang"
"176","Kyphosidae",2,"pulau_pisang"
"256","Osphronemidae",2,"pulau_pisang"
"266","Pomacanthidae",2,"pulau_pisang"
"334","Siganidae",2,"pulau_pisang"
"344","Synodontidae",2,"pulau_pisang"
"617","Chaetodontidae",1,"pulau_pisang"
"96","Diodontidae",1,"pulau_pisang"
"146","Haemulidae",1,"pulau_pisang"
"166","Istiophoridae",1,"pulau_pisang"
"2110","Monacanthidae",1,"pulau_pisang"
"286","Potamotrygonidae",1,"pulau_pisang"
"294","Pseudochromidae",1,"pulau_pisang"
"304","Rhinobatidae",1,"pulau_pisang"
"354","Tetraodontidae",1,"pulau_pisang"
"364","Zenionidae",1,"pulau_pisang"
"287","Lutjanidae",20,"lobo"
"394","Pomacentridae",20,"lobo"
"257","Labridae",18,"lobo"
"444","Serranidae",12,"lobo"
"419","Apogonidae",11,"lobo"
"127","Acanthuridae",9,"lobo"
"1111","Chaetodontidae",9,"lobo"
"2111","Gobiidae",9,"lobo"
"716","Balistidae",7,"lobo"
"277","Lethrinidae",7,"lobo"
"97","Carangidae",6,"lobo"
"177","Engraulidae",6,"lobo"
"128","Clupeidae",5,"lobo"
"227","Haemulidae",5,"lobo"
"3110","Mugilidae",5,"lobo"
"325","Mullidae",5,"lobo"
"335","Muraenidae",5,"lobo"
"454","Siganidae",4,"lobo"
"228","Ambassidae",3,"lobo"
"247","Holocentridae",3,"lobo"
"267","Leiognathidae",3,"lobo"
"384","Pomacanthidae",3,"lobo"
"424","Scombridae",3,"lobo"
"474","Synodontidae",3,"lobo"
"107","Carcharhinidae",2,"lobo"
"147","Dasyatidae",2,"lobo"
"187","Ephippidae",2,"lobo"
"237","Hemiscylliidae",2,"lobo"
"345","Myliobatidae",2,"lobo"
"355","Nemipteridae",2,"lobo"
"404","Potamotrygonidae",2,"lobo"
"464","Sphyraenidae",2,"lobo"
"484","Tetraodontidae",2,"lobo"
"320","Anguillidae",1,"lobo"
"519","Atherinidae",1,"lobo"
"618","Aulostomidae",1,"lobo"
"811","Blenniidae",1,"lobo"
"137","Dactylopteridae",1,"lobo"
"157","Diodontidae",1,"lobo"
"167","Eleotridae",1,"lobo"
"197","Exocoetidae",1,"lobo"
"207","Gerreidae",1,"lobo"
"295","Melanotaeniidae",1,"lobo"
"305","Monacanthidae",1,"lobo"
"365","Orectolobidae",1,"lobo"
"374","Pempheridae",1,"lobo"
"4110","Pristigasteridae",1,"lobo"
"434","Scorpaenidae",1,"lobo"
"494","Zanclidae",1,"lobo"
"296","Lutjanidae",20,"tanjung_boi"
"504","Serranidae",15,"tanjung_boi"
"435","Pomacentridae",11,"tanjung_boi"
"129","Acanthuridae",10,"tanjung_boi"
"198","Gobiidae",9,"tanjung_boi"
"138","Dasyatidae",8,"tanjung_boi"
"326","Apogonidae",7,"tanjung_boi"
"619","Carangidae",7,"tanjung_boi"
"208","Haemulidae",7,"tanjung_boi"
"108","Clupeidae",6,"tanjung_boi"
"158","Engraulidae",6,"tanjung_boi"
"268","Labridae",5,"tanjung_boi"
"288","Lethrinidae",5,"tanjung_boi"
"495","Scombridae",5,"tanjung_boi"
"534","Synodontidae",5,"tanjung_boi"
"520","Balistidae",4,"tanjung_boi"
"238","Holocentridae",4,"tanjung_boi"
"356","Myctophidae",4,"tanjung_boi"
"717","Carcharhinidae",3,"tanjung_boi"
"278","Leiognathidae",3,"tanjung_boi"
"327","Mugilidae",3,"tanjung_boi"
"336","Mullidae",3,"tanjung_boi"
"375","Nemipteridae",3,"tanjung_boi"
"425","Pomacanthidae",3,"tanjung_boi"
"465","Pristigasteridae",3,"tanjung_boi"
"1112","Congridae",2,"tanjung_boi"
"168","Ephippidae",2,"tanjung_boi"
"178","Exocoetidae",2,"tanjung_boi"
"188","Gerreidae",2,"tanjung_boi"
"395","Orectolobidae",2,"tanjung_boi"
"475","Rhinobatidae",2,"tanjung_boi"
"5110","Siganidae",2,"tanjung_boi"
"524","Sphyraenidae",2,"tanjung_boi"
"229","Alopiidae",1,"tanjung_boi"
"420","Atherinidae",1,"tanjung_boi"
"812","Chaetodontidae",1,"tanjung_boi"
"98","Chanidae",1,"tanjung_boi"
"1210","Cyprinodontidae",1,"tanjung_boi"
"148","Emmelichthyidae",1,"tanjung_boi"
"2112","Hemigaleidae",1,"tanjung_boi"
"2210","Hemiscylliidae",1,"tanjung_boi"
"248","Kneriidae",1,"tanjung_boi"
"258","Kyphosidae",1,"tanjung_boi"
"306","Megalopidae",1,"tanjung_boi"
"3111","Monodactylidae",1,"tanjung_boi"
"346","Muraenidae",1,"tanjung_boi"
"366","Myliobatidae",1,"tanjung_boi"
"385","Ophichthidae",1,"tanjung_boi"
"405","Paralepididae",1,"tanjung_boi"
"4111","Pempheridae",1,"tanjung_boi"
"445","Potamotrygonidae",1,"tanjung_boi"
"455","Priacanthidae",1,"tanjung_boi"
"485","Sciaenidae",1,"tanjung_boi"
"544","Terapontidae",1,"tanjung_boi"
"554","Tetraodontidae",1,"tanjung_boi"
"564","Trichiuridae",1,"tanjung_boi"
"436","Serranidae",14,"pulau_aiduma"
"230","Apogonidae",11,"pulau_aiduma"
"525","Carangidae",11,"pulau_aiduma"
"249","Lutjanidae",10,"pulau_aiduma"
"189","Gobiidae",9,"pulau_aiduma"
"357","Pomacentridae",9,"pulau_aiduma"
"239","Lethrinidae",8,"pulau_aiduma"
"109","Dasyatidae",6,"pulau_aiduma"
"2211","Labridae",6,"pulau_aiduma"
"199","Haemulidae",5,"pulau_aiduma"
"347","Pomacanthidae",5,"pulau_aiduma"
"426","Balistidae",4,"pulau_aiduma"
"620","Carcharhinidae",4,"pulau_aiduma"
"718","Chaetodontidae",4,"pulau_aiduma"
"209","Holocentridae",4,"pulau_aiduma"
"269","Mullidae",4,"pulau_aiduma"
"289","Myctophidae",4,"pulau_aiduma"
"466","Synodontidae",4,"pulau_aiduma"
"476","Tetraodontidae",4,"pulau_aiduma"
"130","Acanthuridae",3,"pulau_aiduma"
"297","Myliobatidae",3,"pulau_aiduma"
"4112","Scombridae",3,"pulau_aiduma"
"446","Siganidae",3,"pulau_aiduma"
"149","Engraulidae",2,"pulau_aiduma"
"328","Orectolobidae",2,"pulau_aiduma"
"367","Potamotrygonidae",2,"pulau_aiduma"
"456","Sphyraenidae",2,"pulau_aiduma"
"329","Atherinidae",1,"pulau_aiduma"
"813","Clupeidae",1,"pulau_aiduma"
"99","Dactylopteridae",1,"pulau_aiduma"
"1113","Diodontidae",1,"pulau_aiduma"
"1211","Echeneidae",1,"pulau_aiduma"
"139","Emmelichthyidae",1,"pulau_aiduma"
"159","Ephippidae",1,"pulau_aiduma"
"169","Exocoetidae",1,"pulau_aiduma"
"179","Fistulariidae",1,"pulau_aiduma"
"2113","Kyphosidae",1,"pulau_aiduma"
"259","Mugilidae",1,"pulau_aiduma"
"279","Muraenidae",1,"pulau_aiduma"
"307","Nemipteridae",1,"pulau_aiduma"
"3112","Ophichthidae",1,"pulau_aiduma"
"337","Paralepididae",1,"pulau_aiduma"
"376","Priacanthidae",1,"pulau_aiduma"
"386","Pristigasteridae",1,"pulau_aiduma"
"396","Pseudochromidae",1,"pulau_aiduma"
"406","Rhinobatidae",1,"pulau_aiduma"
"427","Scorpaenidae",1,"pulau_aiduma"
"486","Trichiuridae",1,"pulau_aiduma"
"2710","Lutjanidae",21,"pulau_aiduma_ext"
"140","Acanthuridae",16,"pulau_aiduma_ext"
"428","Apogonidae",13,"pulau_aiduma_ext"
"467","Serranidae",13,"pulau_aiduma_ext"
"407","Pomacentridae",12,"pulau_aiduma_ext"
"2410","Labridae",10,"pulau_aiduma_ext"
"1910","Gobiidae",7,"pulau_aiduma_ext"
"1310","Dasyatidae",6,"pulau_aiduma_ext"
"2114","Holocentridae",6,"pulau_aiduma_ext"
"2610","Lethrinidae",6,"pulau_aiduma_ext"
"338","Myctophidae",6,"pulau_aiduma_ext"
"719","Carangidae",5,"pulau_aiduma_ext"
"910","Chaetodontidae",5,"pulau_aiduma_ext"
"1710","Engraulidae",5,"pulau_aiduma_ext"
"3113","Mullidae",5,"pulau_aiduma_ext"
"623","Balistidae",4,"pulau_aiduma_ext"
"308","Mugilidae",4,"pulau_aiduma_ext"
"397","Pomacanthidae",4,"pulau_aiduma_ext"
"457","Scombridae",4,"pulau_aiduma_ext"
"487","Sphyraenidae",4,"pulau_aiduma_ext"
"814","Carcharhinidae",3,"pulau_aiduma_ext"
"2010","Haemulidae",3,"pulau_aiduma_ext"
"348","Myliobatidae",3,"pulau_aiduma_ext"
"477","Siganidae",3,"pulau_aiduma_ext"
"1212","Clupeidae",2,"pulau_aiduma_ext"
"2310","Kyphosidae",2,"pulau_aiduma_ext"
"3210","Muraenidae",2,"pulau_aiduma_ext"
"4113","Potamotrygonidae",2,"pulau_aiduma_ext"
"496","Synodontidae",2,"pulau_aiduma_ext"
"505","Tetraodontidae",2,"pulau_aiduma_ext"
"240","Alopiidae",1,"pulau_aiduma_ext"
"330","Anomalopidae",1,"pulau_aiduma_ext"
"526","Aulostomidae",1,"pulau_aiduma_ext"
"1010","Chlopsidae",1,"pulau_aiduma_ext"
"1114","Clariidae",1,"pulau_aiduma_ext"
"1410","Echeneidae",1,"pulau_aiduma_ext"
"1510","Eleotridae",1,"pulau_aiduma_ext"
"1610","Emmelichthyidae",1,"pulau_aiduma_ext"
"1810","Ephippidae",1,"pulau_aiduma_ext"
"2212","Istiophoridae",1,"pulau_aiduma_ext"
"2510","Leiognathidae",1,"pulau_aiduma_ext"
"2810","Malacanthidae",1,"pulau_aiduma_ext"
"298","Megalopidae",1,"pulau_aiduma_ext"
"358","Ophichthidae",1,"pulau_aiduma_ext"
"368","Orectolobidae",1,"pulau_aiduma_ext"
"377","Osphronemidae",1,"pulau_aiduma_ext"
"387","Paralepididae",1,"pulau_aiduma_ext"
"429","Pristigasteridae",1,"pulau_aiduma_ext"
"437","Pseudochromidae",1,"pulau_aiduma_ext"
"447","Salmonidae",1,"pulau_aiduma_ext"
"5111","Triakidae",1,"pulau_aiduma_ext"
"527","Zanclidae",1,"pulau_aiduma_ext"
