"species_name","class_name"
"Aplocheilus_panchax","Actinopteri"
"Iso_hawaiiensis","Actinopteri"
"Ablennes_hians","Actinopteri"
"Micropterus_dolomieu","Actinopteri"
"Culaea_inconstans","Actinopteri"
"Apeltes_quadracus","Actinopteri"
"Aulichthys_japonicus","Actinopteri"
"Spinachia_spinachia","Actinopteri"
"Gasterosteus_wheatlandi","Actinopteri"
"Xiphias_gladius","Actinopteri"
"Kajikia_audax","Actinopteri"
"Oryzias_luzonensis","Actinopteri"
"Oryzias_latipes","Actinopteri"
"Oryzias_javanicus","Actinopteri"
"Oryzias_minutillus","Actinopteri"
"Oryzias_celebensis","Actinopteri"
"Seriola_quinqueradiata","Actinopteri"
"Seriola_lalandi","Actinopteri"
"Seriola_dumerili","Actinopteri"
"Seriola_rivoliana","Actinopteri"
"Chlamydoselachus_anguineus","Chondrichthyes"
"Heptranchias_perlo","Chondrichthyes"
"Notorynchus_cepedianus","Chondrichthyes"
"Hexanchus_griseus","Chondrichthyes"
"Hexanchus_nakamurai","Chondrichthyes"
"Pseudotriakis_microdon","Chondrichthyes"
"Betta_splendens","Actinopteri"
"Stiphodon_alcedo","Actinopteri"
"Oreoleuciscus_potanini","Actinopteri"
"Phoxinus_oxycephalus","Actinopteri"
"Tribolodon_brandtii","Actinopteri"
"Protomyctophum_arcticum","Actinopteri"
"Phoxinus_phoxinus","Actinopteri"
"Pristiophorus_japonicus","Chondrichthyes"
"Dissostichus_eleginoides","Actinopteri"
"Pseudopentaceros_richardsoni","Actinopteri"
"Pentaceros_japonicus","Actinopteri"
"Pentaceros_wheeleri","Actinopteri"
"Schedophilus_velaini","Actinopteri"
"Hyperoglyphe_japonica","Actinopteri"
"Hexagrammos_agrammus","Actinopteri"
"Cobitis_lutheri","Actinopteri"
"Hasemania_nana","Actinopteri"
"Helostoma_temminkii","Actinopteri"
"Pethia_conchonius","Actinopteri"
"Gymnapogon_vanderbilti","Actinopteri"
"Pseudamia_amblyuroptera","Actinopteri"
"Pseudamia_gelatinosa","Actinopteri"
"Pseudamia_zonata","Actinopteri"
"Coranthus_polyacanthus","Actinopteri"
"Apogon_atradorsatus","Actinopteri"
"Apogon_aurolineatus","Actinopteri"
"Apogon_campbelli","Actinopteri"
"Apogon_guadalupensis","Actinopteri"
"Apogon_imberbis","Actinopteri"
"Apogon_maculatus","Actinopteri"
"Apogon_pacificus","Actinopteri"
"Apogon_phenax","Actinopteri"
"Apogon_planifrons","Actinopteri"
"Apogon_pseudomaculatus","Actinopteri"
"Apogon_talboti","Actinopteri"
"Apogon_townsendi","Actinopteri"
"Apogonichthys_perdix","Actinopteri"
"Archamia_bleekeri","Actinopteri"
"Astrapogon_puncticulatus","Actinopteri"
"Brephamia_parvula","Actinopteri"
"Cercamia_cladara","Actinopteri"
"Cheilodipterus_artus","Actinopteri"
"Cheilodipterus_intermedius","Actinopteri"
"Cheilodipterus_isostigmus","Actinopteri"
"Cheilodipterus_macrodon","Actinopteri"
"Cheilodipterus_quinquelineatus","Actinopteri"
"Fibramia_lateralis","Actinopteri"
"Foa_leisi","Actinopteri"
"Fowleria_aurita","Actinopteri"
"Fowleria_sp._USNM334735","Actinopteri"
"Fowleria_vaiulae","Actinopteri"
"Glossamia_aprion","Actinopteri"
"Lachneratus_phasmaticus","Actinopteri"
"Ostorhinchus_fasciatus","Actinopteri"
"Ostorhinchus_flagelliferus","Actinopteri"
"Ostorhinchus_fukuii","Actinopteri"
"Ostorhinchus_gularis","Actinopteri"
"Ostorhinchus_hoevenii","Actinopteri"
"Ostorhinchus_holotaenia","Actinopteri"
"Ostorhinchus_luteus","Actinopteri"
"Ostorhinchus_margaritophorus","Actinopteri"
"Ostorhinchus_rueppellii","Actinopteri"
"Ostorhinchus_sealei","Actinopteri"
"Apogon_affinis","Actinopteri"
"Phaeoptyx_conklini","Actinopteri"
"Phaeoptyx_pigmentaria","Actinopteri"
"Pristiapogon_taeniopterus","Actinopteri"
"Pterapogon_kauderni","Actinopteri"
"Rhabdamia_gracilis","Actinopteri"
"Rhabdamia_spilota","Actinopteri"
"Siphamia_jebbi","Actinopteri"
"Siphamia_majimai","Actinopteri"
"Siphamia_roseigaster","Actinopteri"
"Siphamia_sp._YCM-P45343","Actinopteri"
"Siphamia_tubulata","Actinopteri"
"Sphaeramia_nematoptera","Actinopteri"
"Taeniamia_biguttata","Actinopteri"
"Taeniamia_buruensis","Actinopteri"
"Taeniamia_fucata","Actinopteri"
"Taeniamia_kagoshimanus","Actinopteri"
"Taeniamia_sp._SAIAB78070","Actinopteri"
"Taeniamia_zosterophora","Actinopteri"
"Verulux_cypselurus","Actinopteri"
"Vincentia_novaehollandiae","Actinopteri"
"Apogon_hyalosoma","Actinopteri"
"Zapogon_evermanni","Actinopteri"
"Zoramia_fragilis","Actinopteri"
"Paracheirodon_axelrodi","Actinopteri"
"Poecilia_reticulata","Actinopteri"
"Sperata_seenghala","Actinopteri"
"Eutropiichthys_vacha","Actinopteri"
"Rasbora_borapetensis","Actinopteri"
"Microdevario_kubotai","Actinopteri"
"Channa_marulius","Actinopteri"
"Amphiprion_akallopisos","Actinopteri"
"Amphiprion_clarkii","Actinopteri"
"Amphiprion_percula","Actinopteri"
"Amphiprion_ocellaris","Actinopteri"
"Danio_rerio","Actinopteri"
"Acrocheilus_alutaceus","Actinopteri"
"Campostoma_anomalum","Actinopteri"
"Couesius_plumbeus","Actinopteri"
"Cyprinella_venusta","Actinopteri"
"Hemitremia_flammea","Actinopteri"
"Lepidomeda_vittata","Actinopteri"
"Margariscus_margarita","Actinopteri"
"Meda_fulgida","Actinopteri"
"Notropis_atherinoides","Actinopteri"
"Phenacobius_catostomus","Actinopteri"
"Platygobio_gracilis","Actinopteri"
"Semotilus_atromaculatus","Actinopteri"
"Semotilus_thoreauianus","Actinopteri"
"Snyderichthys_copei","Actinopteri"
"Eremichthys_acros","Actinopteri"
"Gila_conspersa","Actinopteri"
"Gila_nigrescens","Actinopteri"
"Gila_orcuttii","Actinopteri"
"Lavinia_exilicauda","Actinopteri"
"Rutilus_rutilus","Actinopteri"
"Orthodon_microlepidotus","Actinopteri"
"Chrosomus_erythrogaster","Actinopteri"
"Phenacobius_mirabilis","Actinopteri"
"Chrosomus_neogaeus","Actinopteri"
"Ptychocheilus_oregonensis","Actinopteri"
"Relictus_solitarius","Actinopteri"
"Siphateles_bicolor","Actinopteri"
"Amblyglyphidodon_curacao","Actinopteri"
"Chromis_analis","Actinopteri"
"Chrysiptera_rex","Actinopteri"
"Dascyllus_aruanus","Actinopteri"
"Dascyllus_melanurus","Actinopteri"
"Dascyllus_reticulatus","Actinopteri"
"Neopomacentrus_azysron","Actinopteri"
"Premnas_biaculeatus","Actinopteri"
"Pomacentrus_auriventris","Actinopteri"
"Pomacentrus_coelestis","Actinopteri"
"Plectroglyphidodon_dickii","Actinopteri"
"Plectroglyphidodon_leucozonus","Actinopteri"
"Plectroglyphidodon_lacrymatus","Actinopteri"
"Stegastes_fasciolatus","Actinopteri"
"Stegastes_lividus","Actinopteri"
"Stegastes_obreptus","Actinopteri"
"Teixeirichthys_jordani","Actinopteri"
"Agosia_chrysogaster","Actinopteri"
"Clinostomus_elongatus","Actinopteri"
